a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.004307748,0.029049515,-0.09409431,0.004353195,0.029511201,-0.093751229,0.503116403,1.570796327,0.478464152,0.527768654,Healthy
0.004005472,0.029795285,-0.098081406,0.004005945,0.029804598,-0.098081427,0.522264269,1.570796327,0.49667379,0.547854748,Healthy
0.004210004,0.029823734,-0.095862838,0.004226686,0.029992082,-0.09572325,0.509317939,1.570796327,0.484361818,0.534274059,Healthy
0.004189312,0.029228689,-0.094897963,0.004253653,0.029847275,-0.094316388,0.500700883,1.570796327,0.476166991,0.525234776,Healthy
0.004145442,0.030605388,-0.0971182,0.004190896,0.031061441,-0.09670734,0.538677421,1.570796327,0.512282712,0.56507213,Healthy
0.004211979,0.029671488,-0.095392518,0.004402365,0.031571685,-0.093777738,0.506997754,1.570796327,0.482155321,0.531840188,Healthy
0.004135968,0.030009594,-0.096207739,0.004159614,0.030260276,-0.096014913,0.516814189,1.570796327,0.491490759,0.542137619,Healthy
0.004138167,0.031462992,-0.09562722,0.004224406,0.032390283,-0.094911307,0.538735782,1.570796327,0.512338213,0.56513335,Healthy
0.00428982,0.033119446,-0.09201309,0.004308902,0.033313844,-0.09183396,0.579989658,1.570796327,0.551570687,0.608408629,Healthy
0.003992982,0.030536373,-0.098831048,0.004003677,0.030635711,-0.098713783,0.526481148,1.570796327,0.500684046,0.55227825,Healthy
0.004178551,0.031756864,-0.094699101,0.004337334,0.033371221,-0.093228579,0.554542914,1.570796327,0.527370811,0.581715018,Healthy
0.004326685,0.028841402,-0.091442442,0.004372766,0.029241022,-0.090982884,0.504893241,1.570796327,0.480153926,0.529632555,Healthy
0.004150328,0.029796218,-0.09479551,0.004209298,0.030374714,-0.09428412,0.515669091,1.570796327,0.49040177,0.540936412,Healthy
0.004211528,0.02765052,-0.093424674,0.004307078,0.0284746,-0.092475367,0.48818058,1.570796327,0.464260171,0.512100989,Healthy
0.004225371,0.032246398,-0.094051231,0.004258155,0.03258532,-0.0937748,0.566196333,1.570796327,0.538453223,0.593939444,Healthy
0.00440187,0.026234205,-0.088473592,0.004435387,0.026503115,-0.088151522,0.475427428,1.570796327,0.452131912,0.498722944,Healthy
0.004052307,0.02938947,-0.097386062,0.004061689,0.029477381,-0.097288878,0.517868645,1.570796327,0.492493548,0.543243743,Healthy
0.004306383,0.028003619,-0.092954036,0.004362759,0.028484239,-0.092382337,0.486728879,1.570796327,0.462879602,0.510578156,Healthy
0.004269071,0.033978286,-0.091712821,0.004364404,0.035049808,-0.090962849,0.590365802,1.570796327,0.561438409,0.619293194,Healthy
0.004085192,0.026732228,-0.095907261,0.004097585,0.026845183,-0.095787257,0.480539034,1.570796327,0.456993054,0.504085014,Healthy
0.004087843,0.030140019,-0.095394703,0.004233668,0.031610063,-0.09406995,0.527035973,1.570796327,0.501211685,0.552860262,Healthy
0.004319896,0.026527283,-0.092651816,0.0044038,0.027196911,-0.091805412,0.47870129,1.570796327,0.455245358,0.502157222,Healthy
0.004139153,0.028829063,-0.096852076,0.004304141,0.030406115,-0.095348254,0.502652353,1.570796327,0.478022841,0.527281866,Healthy
0.004324308,0.025562983,-0.090890475,0.00435428,0.025785576,-0.090561418,0.461335798,1.570796327,0.438730759,0.483940837,Healthy
0.004138803,0.027360328,-0.095918775,0.004156656,0.027509213,-0.095729615,0.485934146,1.570796327,0.462123811,0.509744482,Healthy
0.004158602,0.024971416,-0.094063284,0.004168999,0.025051515,-0.093953859,0.479225093,1.570796327,0.455743495,0.502706691,Healthy
0.004094397,0.028551347,-0.097064258,0.004107552,0.028680003,-0.096938764,0.504766686,1.570796327,0.480033573,0.529499799,Healthy
0.004297311,0.026276422,-0.09196627,0.004362631,0.026817236,-0.091332311,0.479974926,1.570796327,0.456456586,0.503493265,Healthy
0.004166357,0.033168849,-0.094946924,0.00421937,0.033760797,-0.094497333,0.578173376,1.570796327,0.549843401,0.606503351,Healthy
0.004174774,0.025507193,-0.095461518,0.004178791,0.025538656,-0.095411177,0.4675896,1.570796327,0.44467813,0.490501069,Healthy
0.010465508,0.331654884,-0.143060974,0.010467113,0.331960226,-0.143111582,0.597169274,1.570796327,0.567908517,0.626430031,25% Defective
0.010103705,0.312850484,-0.140487591,0.010105346,0.312968992,-0.14049784,0.58710712,1.570796327,0.558339399,0.61587484,25% Defective
0.011023135,0.318667476,-0.138451256,0.011032954,0.319131717,-0.138456119,0.559585964,1.570796327,0.532166756,0.587005173,25% Defective
0.009460992,0.373949212,-0.1595566,0.009470232,0.374403236,-0.159535293,0.656861158,1.570796327,0.624675553,0.689046764,25% Defective
0.009837389,0.331343407,-0.148030149,0.009849765,0.331841733,-0.147988559,0.605969172,1.570796327,0.576277228,0.635661116,25% Defective
0.009403383,0.366011489,-0.156810507,0.009409059,0.36644783,-0.156831024,0.664665847,1.570796327,0.632097819,0.697233875,25% Defective
0.009510697,0.341880427,-0.15425367,0.009520023,0.342423031,-0.154260746,0.616497715,1.570796327,0.586289882,0.646705548,25% Defective
0.009728317,0.353713872,-0.15175306,0.00975442,0.355485331,-0.151814387,0.650898731,1.570796327,0.619005279,0.682792183,25% Defective
0.009240296,0.407349186,-0.160174597,0.009253251,0.408290184,-0.160185813,0.749115792,1.570796327,0.712409793,0.785821791,25% Defective
0.009325506,0.342306475,-0.155166501,0.009330754,0.342464854,-0.155132979,0.639407266,1.570796327,0.608076886,0.670737647,25% Defective
0.00926976,0.49355209,-0.159081881,0.009311855,0.496979736,-0.159052421,0.916542634,1.570796327,0.87163287,0.961452398,25% Defective
0.009501284,0.308489759,-0.148131705,0.00950265,0.308603608,-0.148141093,0.585240455,1.570796327,0.5565642,0.61391671,25% Defective
0.009273293,0.364152047,-0.161263608,0.009307684,0.366009698,-0.16121317,0.647899756,1.570796327,0.616153251,0.67964626,25% Defective
0.009406839,0.372885915,-0.160056929,0.009411904,0.373186341,-0.160055383,0.66368245,1.570796327,0.631162607,0.696202292,25% Defective
0.008917324,0.483996428,-0.159544202,0.008929549,0.485029776,-0.159549895,0.926145559,1.570796327,0.880765261,0.971525858,25% Defective
0.009393689,0.380554038,-0.160123217,0.009395309,0.380652293,-0.160122789,0.676978404,1.570796327,0.643807072,0.710149736,25% Defective
0.009351544,0.499042121,-0.158180015,0.009361624,0.499760596,-0.158157117,0.923668158,1.570796327,0.87840925,0.968927066,25% Defective
0.009174782,0.349342574,-0.158884821,0.009178804,0.34959044,-0.158884567,0.640816542,1.570796327,0.609417109,0.672215976,25% Defective
0.00943552,0.429846453,-0.158483127,0.009452828,0.430616109,-0.158393602,0.781700584,1.570796327,0.743397959,0.820003209,25% Defective
0.009592897,0.31544781,-0.147198665,0.00959526,0.315477525,-0.147176527,0.604219126,1.570796327,0.574612933,0.633825319,25% Defective
0.009589736,0.380470844,-0.158184553,0.009591299,0.380787807,-0.158226418,0.678957172,1.570796327,0.645688882,0.712225462,25% Defective
0.009464446,0.338764951,-0.154410739,0.009470801,0.338963909,-0.154379683,0.621246611,1.570796327,0.590806086,0.651687135,25% Defective
0.01007195,0.30320688,-0.142683162,0.010084791,0.303793786,-0.142683993,0.567935832,1.570796327,0.540107487,0.595764176,25% Defective
0.009806844,0.410051085,-0.156813374,0.0098181,0.410647973,-0.156788272,0.727582083,1.570796327,0.691931216,0.76323295,25% Defective
0.009303389,0.31796588,-0.150974861,0.009307871,0.318462102,-0.151034766,0.610329319,1.570796327,0.580423732,0.640234907,25% Defective
0.009721542,0.410352595,-0.158918083,0.009730901,0.410508509,-0.158832671,0.716318641,1.570796327,0.681219673,0.75141761,25% Defective
0.009161796,0.350591356,-0.161077895,0.009169328,0.350871322,-0.16103916,0.628738656,1.570796327,0.597931028,0.659546284,25% Defective
0.009512209,0.443503221,-0.157839742,0.009520339,0.443946772,-0.157816989,0.801045229,1.570796327,0.761794734,0.840295724,25% Defective
0.009171641,0.409163744,-0.161931186,0.009185768,0.409868493,-0.161872779,0.735528665,1.570796327,0.699488423,0.771568907,25% Defective
0.009797779,0.458652399,-0.154300958,0.009806398,0.459130082,-0.15427385,0.826178588,1.570796327,0.785696581,0.866660595,25% Defective
0.010835118,0.265998586,-0.102456005,0.010843425,0.266207211,-0.102419667,0.757835559,1.570796327,0.720702299,0.794968819,50% Defective
0.011851355,0.264975742,-0.095584997,0.011862272,0.265345085,-0.095570352,0.72919378,1.570796327,0.693463941,0.764923619,50% Defective
0.010429428,0.278245096,-0.107351238,0.010444786,0.278873172,-0.107323793,0.778617979,1.570796327,0.740466399,0.816769559,50% Defective
0.012501692,0.258840349,-0.089991161,0.012505254,0.259206837,-0.090042356,0.711907897,1.570796327,0.677025051,0.746790743,50% Defective
0.01133366,0.262654194,-0.099112053,0.01135018,0.263913418,-0.099235517,0.737211545,1.570796327,0.701088843,0.773334247,50% Defective
0.012204198,0.262571237,-0.093048451,0.012207554,0.262668143,-0.093036679,0.719756696,1.570796327,0.684489266,0.755024126,50% Defective
0.010300975,0.284854733,-0.108498207,0.010312406,0.285356803,-0.108485744,0.804628202,1.570796327,0.765202144,0.844054259,50% Defective
0.011108665,0.263012144,-0.098771206,0.011114529,0.263233168,-0.098760421,0.747040668,1.570796327,0.710436348,0.783644988,50% Defective
0.011008922,0.270720877,-0.101859375,0.011013041,0.270857336,-0.101848282,0.752952292,1.570796327,0.716058308,0.789846277,50% Defective
0.011372418,0.266500597,-0.099010905,0.011376509,0.266655787,-0.099005948,0.739089984,1.570796327,0.70287524,0.775304728,50% Defective
0.011614792,0.255223191,-0.096565819,0.011655404,0.256921809,-0.09656833,0.717876167,1.570796327,0.682700881,0.753051453,50% Defective
0.011517769,0.256682981,-0.096014897,0.011517599,0.256716851,-0.096025573,0.725543288,1.570796327,0.68999232,0.761094256,50% Defective
0.011394849,0.260926484,-0.09958175,0.011424941,0.262018622,-0.099535261,0.71723912,1.570796327,0.682095049,0.752383191,50% Defective
0.010366565,0.282338651,-0.109482888,0.010397175,0.28362436,-0.109407056,0.789053871,1.570796327,0.750390941,0.8277168,50% Defective
0.011311513,0.262741564,-0.097822237,0.011313153,0.262803932,-0.097819541,0.732565483,1.570796327,0.696670434,0.768460532,50% Defective
0.010946685,0.264447367,-0.102505628,0.010950738,0.264724066,-0.102521467,0.73853865,1.570796327,0.702350922,0.774726379,50% Defective
0.01232283,0.250767073,-0.090480939,0.012345019,0.251647548,-0.090497672,0.691422669,1.570796327,0.657543581,0.725301757,50% Defective
0.011084724,0.263868065,-0.099809521,0.011085646,0.263936344,-0.099816622,0.752786899,1.570796327,0.715901019,0.78967278,50% Defective
0.011987444,0.258669935,-0.092866548,0.011988069,0.258685427,-0.092863077,0.718095832,1.570796327,0.682909783,0.753281881,50% Defective
0.010441262,0.273067902,-0.107475207,0.01045652,0.273581091,-0.107424749,0.766436204,1.570796327,0.728881521,0.803990888,50% Defective
0.012066119,0.253980741,-0.094821686,0.012073261,0.254159712,-0.094794826,0.697159755,1.570796327,0.662999555,0.731319955,50% Defective
0.010316896,0.26612634,-0.107298773,0.010321011,0.266334681,-0.107304535,0.764557382,1.570796327,0.727094759,0.802020006,50% Defective
0.011601906,0.270256532,-0.098498526,0.011603502,0.270280031,-0.098490718,0.724454887,1.570796327,0.68895725,0.759952525,50% Defective
0.011116962,0.265205977,-0.10114531,0.01113113,0.265927581,-0.101167404,0.738692263,1.570796327,0.702497007,0.774887519,50% Defective
0.012019121,0.263893293,-0.095118529,0.012027794,0.264244192,-0.095115787,0.716192558,1.570796327,0.681099768,0.751285349,50% Defective
0.010452024,0.271587147,-0.105032104,0.010464664,0.271983784,-0.104975546,0.779161383,1.570796327,0.740983177,0.817339589,50% Defective
0.011388332,0.257526058,-0.09864835,0.011395496,0.257733747,-0.098626445,0.71472826,1.570796327,0.679707218,0.749749301,50% Defective
0.009346948,0.303864498,-0.12083337,0.009353305,0.304017921,-0.120785858,0.866057709,1.570796327,0.823621661,0.908493757,50% Defective
0.011245192,0.256657165,-0.10073222,0.011264842,0.257304056,-0.100694568,0.71124686,1.570796327,0.676396404,0.746097316,50% Defective
0.010172592,0.297128036,-0.112222589,0.010175835,0.297381675,-0.112238636,0.829025548,1.570796327,0.788404042,0.869647053,50% Defective
0.022424533,1.792649627,-0.12707363,0.022430856,1.792983784,-0.127053637,1.391178969,1.570796327,1.323012453,1.459345486,75% Defective
0.021839107,1.696646928,-0.128922593,0.021843581,1.697003754,-0.12891393,1.345697957,1.570796327,1.279759969,1.411635945,75% Defective
0.022921054,1.857294323,-0.128228033,0.022932781,1.857883237,-0.128191204,1.375074237,1.570796327,1.307696838,1.442451637,75% Defective
0.023328605,1.751887577,-0.12453347,0.023333161,1.752093284,-0.124518018,1.335685603,1.570796327,1.270238211,1.401132995,75% Defective
0.022435631,1.786024814,-0.129707452,0.022440853,1.786132162,-0.129683148,1.359822816,1.570796327,1.293192723,1.42645291,75% Defective
0.021823719,1.836172698,-0.132240413,0.021823747,1.83617845,-0.132240523,1.388958725,1.570796327,1.320900998,1.457016452,75% Defective
0.022799978,2.077786948,-0.128796906,0.022804855,2.077955253,-0.128777156,1.552047836,1.570796327,1.475998889,1.628096782,75% Defective
0.021925581,1.909460165,-0.128933053,0.021927907,1.909530829,-0.128923838,1.490437394,1.570796327,1.417407304,1.563467484,75% Defective
0.022408558,1.902460894,-0.129169744,0.022415535,1.902672541,-0.129140921,1.430751543,1.570796327,1.360646006,1.50085708,75% Defective
0.022282847,2.099207028,-0.130273199,0.022296549,2.099589651,-0.130212983,1.590320993,1.570796327,1.512396697,1.66824529,75% Defective
0.021424253,1.749082583,-0.132084602,0.021432533,1.749357704,-0.132049716,1.360844097,1.570796327,1.294163962,1.427524233,75% Defective
0.02205261,1.76526827,-0.129600162,0.022060182,1.765566232,-0.129571594,1.361719781,1.570796327,1.294996738,1.428442824,75% Defective
0.022057911,1.865940262,-0.13008695,0.022063212,1.866067707,-0.130062119,1.442967225,1.570796327,1.37226313,1.513671319,75% Defective
0.019454164,2.16638065,-0.140481668,0.019456041,2.166533458,-0.140475465,1.777554108,1.570796327,1.690455557,1.864652659,75% Defective
0.021966803,1.862808347,-0.132183624,0.022000298,1.864422306,-0.132066627,1.39855377,1.570796327,1.330025894,1.467081645,75% Defective
0.022557928,1.781546757,-0.128654698,0.022564288,1.782086334,-0.128644242,1.350646326,1.570796327,1.284465872,1.41682678,75% Defective
0.021653676,1.932075781,-0.130317288,0.021657377,1.932392915,-0.130309028,1.525817753,1.570796327,1.451054057,1.600581449,75% Defective
