a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.007330032,0.040436032,-0.129833926,0.007355811,0.040698436,-0.129787016,0.667967242,1.570796327,0.642092069,0.693842416,Healthy
0.007458714,0.036254858,-0.128507165,0.00750882,0.036616339,-0.12815661,0.622346706,1.570796327,0.598238744,0.646454669,Healthy
0.007277967,0.040106606,-0.129364693,0.007342642,0.040711969,-0.129045378,0.674820481,1.570796327,0.648679832,0.70096113,Healthy
0.007588948,0.039342262,-0.127191448,0.007590269,0.039359295,-0.12718927,0.643599941,1.570796327,0.618668688,0.668531194,Healthy
0.007288225,0.039296459,-0.13215678,0.007316235,0.039577284,-0.132071726,0.656072532,1.570796327,0.630658126,0.681486938,Healthy
0.006706388,0.041833283,-0.140803461,0.006744986,0.042173892,-0.140504185,0.703133615,1.570796327,0.675896195,0.730371035,Healthy
0.006894311,0.042656148,-0.141329379,0.006931294,0.043020826,-0.141097855,0.69782112,1.570796327,0.670789491,0.724852749,Healthy
0.006526079,0.047626315,-0.145658878,0.00663005,0.048802564,-0.145099924,0.786087553,1.570796327,0.75563673,0.816538375,Healthy
0.007071615,0.043992504,-0.14008106,0.007097618,0.04423501,-0.139928999,0.702399843,1.570796327,0.675190848,0.729608839,Healthy
0.006879962,0.042796814,-0.13953173,0.006912066,0.043132948,-0.139387338,0.6890752,1.570796327,0.662382363,0.715768037,Healthy
0.007052984,0.041619503,-0.139524176,0.007072484,0.041801502,-0.139420222,0.675432062,1.570796327,0.649267723,0.701596402,Healthy
0.006991641,0.041972465,-0.137593303,0.007128535,0.043231829,-0.136744399,0.665508636,1.570796327,0.639728702,0.69128857,Healthy
0.0073256,0.039874184,-0.133891675,0.0073952,0.040421511,-0.13335224,0.645122537,1.570796327,0.620132303,0.670112771,Healthy
0.007977234,0.038740865,-0.127378975,0.008002156,0.038926486,-0.127221687,0.618044621,1.570796327,0.594103309,0.641985932,Healthy
0.006991436,0.042588854,-0.138652433,0.006995714,0.042627453,-0.138621757,0.697104908,1.570796327,0.670101023,0.724108793,Healthy
0.006643739,0.045012892,-0.141845843,0.006668277,0.045278388,-0.141727442,0.725379123,1.570796327,0.697279974,0.753478271,Healthy
0.007219724,0.04218023,-0.14169755,0.0072394,0.042357967,-0.141565072,0.649065831,1.570796327,0.623922845,0.674208817,Healthy
0.006658762,0.048629877,-0.141891651,0.006663618,0.048682185,-0.141856917,0.78837268,1.570796327,0.757833338,0.818912021,Healthy
0.007110276,0.041373457,-0.137575281,0.007169218,0.041904767,-0.137229866,0.672314934,1.570796327,0.646271343,0.698358526,Healthy
0.006768615,0.045324371,-0.140278919,0.00691691,0.046894928,-0.139413877,0.727278287,1.570796327,0.69910557,0.755451004,Healthy
0.007511862,0.04033026,-0.133983534,0.007621492,0.041279781,-0.133353487,0.651686609,1.570796327,0.626442101,0.676931117,Healthy
0.00698674,0.044138156,-0.139465831,0.007003837,0.044330933,-0.139415755,0.708050077,1.570796327,0.680622207,0.735477947,Healthy
0.007261703,0.042836274,-0.13822727,0.007277158,0.043002359,-0.138203788,0.678255705,1.570796327,0.651981986,0.704529425,Healthy
0.00654759,0.04893052,-0.1497259,0.006705846,0.050912901,-0.149157204,0.779794482,1.570796327,0.749587436,0.810001529,Healthy
0.007695004,0.038290218,-0.12924714,0.007708073,0.03841338,-0.129164953,0.639775822,1.570796327,0.614992705,0.66455894,Healthy
0.006577775,0.046520123,-0.147039418,0.006607285,0.046872792,-0.146935368,0.761862067,1.570796327,0.732349671,0.791374462,Healthy
0.007849772,0.039265933,-0.130650285,0.007956504,0.040103168,-0.129948376,0.615022212,1.570796327,0.59119798,0.638846444,Healthy
0.007243133,0.04055181,-0.138265009,0.007261594,0.040686727,-0.138082765,0.669262916,1.570796327,0.643337552,0.695188281,Healthy
0.007267454,0.04076305,-0.135366762,0.00738108,0.041785317,-0.134749654,0.661493481,1.570796327,0.635869083,0.687117879,Healthy
0.006799353,0.043542404,-0.144844348,0.006821086,0.043747189,-0.144703142,0.702227462,1.570796327,0.675025143,0.72942978,Healthy
0.017312099,0.366794005,-0.197928378,0.017322441,0.366989484,-0.197887352,0.697460328,1.570796327,0.670442675,0.724477981,25% Defective
0.012006379,0.597581732,-0.224085408,0.012013599,0.598037626,-0.224057402,1.479767545,1.570796327,1.42244551,1.537089581,25% Defective
0.015285097,0.413764974,-0.21163341,0.015290875,0.413957823,-0.211616444,0.834096739,1.570796327,0.801786175,0.866407302,25% Defective
0.011735319,0.628313127,-0.22490547,0.011738093,0.628395349,-0.224879487,1.587408403,1.570796327,1.525916662,1.648900143,25% Defective
0.013355679,0.463316223,-0.220323906,0.013378337,0.4640322,-0.220187605,1.026388766,1.570796327,0.98662935,1.066148182,25% Defective
0.013202764,0.513466733,-0.217133628,0.013272642,0.516352457,-0.216806008,1.188245247,1.570796327,1.142215965,1.234274528,25% Defective
0.015557965,0.383619178,-0.209381009,0.015568152,0.383855901,-0.209340763,0.769993653,1.570796327,0.740166263,0.799821043,25% Defective
0.014284145,0.471765969,-0.21261364,0.014299806,0.472248251,-0.21252699,1.025844744,1.570796327,0.986106402,1.065583087,25% Defective
0.016111424,0.388796291,-0.205505904,0.01611549,0.388901608,-0.205487493,0.771530174,1.570796327,0.741643263,0.801417084,25% Defective
0.017558175,0.394338962,-0.197738601,0.017599108,0.395346776,-0.197600411,0.745926153,1.570796327,0.71703107,0.774821236,25% Defective
0.011338931,0.595396106,-0.228009096,0.011349321,0.596003413,-0.227966417,1.53639082,1.570796327,1.476875358,1.595906282,25% Defective
0.017513766,0.341953883,-0.198771885,0.017522151,0.342121634,-0.198737922,0.644498627,1.570796327,0.619532562,0.669464692,25% Defective
0.013263884,0.524963359,-0.218052195,0.013274703,0.52551895,-0.218023098,1.194033952,1.570796327,1.147780433,1.240287472,25% Defective
0.016017141,0.395530549,-0.20710832,0.016088625,0.397604866,-0.206877599,0.784413763,1.570796327,0.754027778,0.814799748,25% Defective
0.011823499,0.615184441,-0.227363815,0.011849409,0.616705788,-0.227253373,1.526339668,1.570796327,1.467213559,1.585465777,25% Defective
0.016373616,0.391647552,-0.203742751,0.016380376,0.391820704,-0.203723527,0.773513136,1.570796327,0.743549412,0.803476861,25% Defective
0.011931625,0.634227029,-0.226755628,0.01194932,0.635268714,-0.226675127,1.562494315,1.570796327,1.501967677,1.623020953,25% Defective
0.016393302,0.401369144,-0.205511586,0.016398508,0.401454906,-0.205481077,0.777614283,1.570796327,0.747491691,0.807736875,25% Defective
0.013144498,0.483655899,-0.219681515,0.013149655,0.483878187,-0.219664969,1.093244297,1.570796327,1.050895085,1.135593508,25% Defective
0.01521522,0.411298895,-0.207353809,0.015273407,0.413022522,-0.207137881,0.862265488,1.570796327,0.828863746,0.89566723,25% Defective
0.012961311,0.520523944,-0.220578931,0.012969954,0.520811983,-0.220522751,1.200817398,1.570796327,1.154301107,1.247333689,25% Defective
0.015740286,0.402300078,-0.203103635,0.015755667,0.402732649,-0.203043974,0.824603794,1.570796327,0.792660961,0.856546628,25% Defective
0.013228738,0.513758582,-0.218243536,0.01324012,0.514283684,-0.218203981,1.169981281,1.570796327,1.124659494,1.215303068,25% Defective
0.014945269,0.431814388,-0.206333412,0.014968999,0.432631739,-0.206245657,0.928670642,1.570796327,0.892696551,0.964644733,25% Defective
0.009995369,0.669766847,-0.237774125,0.010006189,0.67063679,-0.237728414,1.890442462,1.570796327,1.817212034,1.96367289,25% Defective
0.015842921,0.385197866,-0.207080294,0.015852152,0.385400288,-0.207033969,0.768240209,1.570796327,0.738480743,0.797999676,25% Defective
0.01275613,0.573607026,-0.217588289,0.012805713,0.576266766,-0.21740798,1.381367381,1.570796327,1.327857091,1.434877671,25% Defective
0.016085846,0.358318082,-0.204647829,0.016104002,0.358599109,-0.204536329,0.712136811,1.570796327,0.684550632,0.739722989,25% Defective
0.011824787,0.609776907,-0.224147386,0.011831607,0.61023615,-0.224129728,1.551930181,1.570796327,1.491812768,1.612047595,25% Defective
0.015521416,0.382271028,-0.208280244,0.01554959,0.382897857,-0.208140981,0.770008098,1.570796327,0.740180148,0.799836048,25% Defective
0.00927346,0.189216258,-0.200187302,0.009276405,0.189274191,-0.200155027,0.903336063,1.570796327,0.868343363,0.938328763,50% Defective
0.009172946,0.196296854,-0.201389043,0.009178704,0.196470898,-0.201374826,0.925914327,1.570796327,0.890047008,0.961781646,50% Defective
0.010922204,0.173066377,-0.185725737,0.010926928,0.173130697,-0.185689791,0.766407578,1.570796327,0.736719103,0.796096054,50% Defective
0.009769198,0.188510481,-0.200540583,0.009775316,0.188600235,-0.200485491,0.848294482,1.570796327,0.815433938,0.881155026,50% Defective
0.01119194,0.171814922,-0.185085803,0.011208105,0.172222627,-0.185057781,0.738673613,1.570796327,0.710059474,0.767287753,50% Defective
0.009408186,0.189965748,-0.202590717,0.009421417,0.190312897,-0.202530198,0.878086217,1.570796327,0.844071624,0.912100809,50% Defective
0.010129896,0.187497772,-0.199494891,0.010215592,0.189606386,-0.199169561,0.803931911,1.570796327,0.772789848,0.835073974,50% Defective
0.009196274,0.194612439,-0.196127561,0.009197535,0.194650184,-0.196120174,0.941264624,1.570796327,0.904802678,0.97772657,50% Defective
0.010730302,0.18564705,-0.192983999,0.010754016,0.186108831,-0.192857178,0.77947572,1.570796327,0.749281022,0.809670419,50% Defective
0.009170284,0.199484252,-0.201185454,0.009187942,0.200064313,-0.201127168,0.925013366,1.570796327,0.889180948,0.960845784,50% Defective
0.010834062,0.187428105,-0.191858483,0.010864417,0.188009544,-0.191698787,0.792781766,1.570796327,0.762071629,0.823491904,50% Defective
0.009502717,0.201986056,-0.20331656,0.009513528,0.202288226,-0.203247182,0.893591838,1.570796327,0.858976601,0.928207074,50% Defective
0.010881899,0.173324654,-0.187201014,0.010888154,0.173461754,-0.187178668,0.745741564,1.570796327,0.716853632,0.774629497,50% Defective
0.009185549,0.201727905,-0.199550915,0.009188279,0.201778288,-0.199517537,0.940642286,1.570796327,0.904204447,0.977080124,50% Defective
0.010427029,0.191196453,-0.200029066,0.010429597,0.191246151,-0.200014275,0.805969331,1.570796327,0.774748344,0.837190317,50% Defective
0.009364777,0.200045009,-0.197377391,0.009373665,0.200347074,-0.197371375,0.942170639,1.570796327,0.905673596,0.978667681,50% Defective
0.010409403,0.191328199,-0.197992,0.010426766,0.191690429,-0.197899234,0.799961476,1.570796327,0.768973217,0.830949736,50% Defective
0.009417675,0.210999746,-0.199970214,0.009437212,0.211677837,-0.199919313,0.972800505,1.570796327,0.935116947,1.010484062,50% Defective
0.010501395,0.190011784,-0.199186347,0.010507094,0.190116495,-0.199142847,0.788507988,1.570796327,0.757963405,0.819052572,50% Defective
0.009344689,0.200568173,-0.200835124,0.009346581,0.200594699,-0.200811181,0.924780664,1.570796327,0.888957261,0.960604068,50% Defective
0.010654519,0.184798909,-0.195165643,0.010678634,0.185281751,-0.195035438,0.759175951,1.570796327,0.729767608,0.788584294,50% Defective
0.009168944,0.201520404,-0.19894063,0.009172176,0.201632271,-0.198943357,0.952497648,1.570796327,0.915600566,0.989394729,50% Defective
0.01058218,0.193431321,-0.198627541,0.010595545,0.193774292,-0.198586748,0.813570093,1.570796327,0.782054674,0.845085512,50% Defective
0.00954613,0.206942229,-0.196374544,0.009560741,0.207281813,-0.196276259,0.948195998,1.570796327,0.91146555,0.984926446,50% Defective
0.010614162,0.187759261,-0.196991466,0.010614615,0.187771522,-0.196992641,0.784537065,1.570796327,0.754146304,0.814927826,50% Defective
0.009500996,0.207754692,-0.20002477,0.009506614,0.207899293,-0.199991745,0.939934485,1.570796327,0.903524065,0.976344905,50% Defective
0.010674449,0.184153184,-0.193473604,0.010687847,0.184510443,-0.193439556,0.778716334,1.570796327,0.748551052,0.808881617,50% Defective
0.009414879,0.201784412,-0.199525543,0.009422906,0.201966502,-0.199460903,0.923724675,1.570796327,0.887942177,0.959507173,50% Defective
0.01030352,0.202295306,-0.202829476,0.010349931,0.203261888,-0.202532773,0.823743208,1.570796327,0.791833711,0.855652705,50% Defective
0.009751555,0.194308195,-0.198998861,0.009761466,0.194587591,-0.198978083,0.866879658,1.570796327,0.833299177,0.90046014,50% Defective
0.01526606,0.572012579,-0.242719828,0.01528177,0.572574508,-0.242647415,0.892249166,1.570796327,0.857685941,0.926812391,75% Defective
0.014244179,0.740793381,-0.236558071,0.014257299,0.741394776,-0.236491525,1.296090668,1.570796327,1.245883758,1.346297578,75% Defective
0.015459281,0.625574965,-0.233300313,0.015476719,0.626157482,-0.233203018,1.01269824,1.570796327,0.973469156,1.051927323,75% Defective
0.015322709,0.656729916,-0.237266481,0.015342052,0.65750488,-0.237185531,1.053685052,1.570796327,1.012868254,1.094501849,75% Defective
0.015323732,0.531210766,-0.241761106,0.015329082,0.531562043,-0.241782955,0.831222709,1.570796327,0.799023477,0.86342194,75% Defective
0.01509752,0.602895533,-0.233627217,0.015104403,0.603012471,-0.233574635,1.002206256,1.570796327,0.963383603,1.04102891,75% Defective
